PC4,perc_HPEV_BEV
1011,0.23
1012,0.91
1013,0.10
1014,0.17
1015,0.10
1016,0.12
1017,0.17
1018,0.09
1019,0.09
1021,0.05
1022,0.08
1023,0.06
1024,0.05
1025,0.04
1026,0.12
1027,0.09
1028,0.14
1031,0.09
1032,0.07
1033,0.06
1034,0.05
1035,0.06
1036,0.10
1037,0.10
1041,0.31
1042,0.34
1043,0.34
1044,0.41
1045,0.17
1046,0.22
1047,0.10
1051,0.06
1052,0.06
1053,0.05
1054,0.10
1055,0.05
1056,0.04
1057,0.05
1058,0.08
1059,0.08
1060,0.14
1061,0.05
1062,0.06
1063,0.04
1064,0.04
1065,0.04
1066,0.06
1067,0.06
1068,0.04
1069,0.06
1071,0.15
1072,0.08
1073,0.07
1074,0.08
1075,0.13
1076,0.12
1077,0.17
1078,0.09
1079,0.06
1081,0.14
1082,0.36
1083,0.33
1086,0.14
1087,0.12
1091,0.06
1092,0.06
1093,0.05
1094,0.04
1095,0.06
1096,0.24
1097,0.56
1098,0.08
1101,0.44
1102,0.27
1103,0.05
1104,0.04
1105,0.14
1106,0.04
1107,0.03
1108,0.04
1109,0.06
1111,0.06
1112,0.09
1113,0.07
1114,0.43
1115,0.06
1117,0.36
1118,0.19
1119,0.46
1121,0.08
1127,0.13
1131,0.09
1132,0.08
1135,0.07
1141,0.06
1145,0.20
1151,0.11
1153,0.14
1154,0.15
1156,0.04
1161,0.06
1165,0.09
1171,0.09
1175,0.17
1181,0.12
1182,0.19
1183,0.10
1184,0.16
1185,0.15
1186,0.08
1187,0.11
1188,0.08
1189,0.07
1191,0.10
1211,0.17
1212,0.04
1213,0.14
1214,0.05
1215,0.07
1216,0.06
1217,0.15
1218,0.05
1221,0.04
1222,0.04
1223,0.05
1231,0.09
1241,0.06
1243,0.08
1244,0.06
1251,0.12
1252,0.10
1261,0.12
1262,0.19
1271,0.08
1272,0.11
1273,0.05
1274,0.04
1275,0.04
1276,0.04
1277,0.09
1309,0.12
1311,0.06
1312,0.06
1313,0.06
1314,0.05
1315,0.07
1316,0.14
1317,0.04
1318,0.06
1319,0.15
1321,0.09
1322,0.27
1323,0.05
1324,0.04
1325,0.07
1326,0.06
1327,0.43
1328,0.08
1329,0.17
1331,0.18
1332,0.13
1333,0.05
1334,0.06
1335,0.07
1336,0.09
1338,0.06
1339,0.07
1341,0.13
1343,0.20
1349,0.18
1351,0.11
1352,0.04
1353,0.03
1354,0.02
1355,0.03
1356,0.03
1357,0.05
1358,0.31
1359,0.15
1361,0.13
1362,0.11
1363,0.10
1381,0.09
1382,0.07
1383,0.05
1384,0.15
1391,0.11
1393,0.10
1394,0.07
1396,0.08
1398,0.12
1399,0.10
1401,0.12
1402,0.08
1403,0.04
1404,0.07
1405,0.12
1406,0.12
1411,0.11
1412,0.11
1421,0.07
1422,0.07
1423,0.08
1424,0.08
1426,0.08
1427,0.07
1428,0.03
1431,0.08
1432,0.10
1433,0.06
1435,0.07
1436,0.03
1437,0.27
1438,0.13
1441,0.05
1442,0.04
1443,0.03
1444,0.04
1445,0.03
1446,0.09
1447,0.06
1448,0.08
1451,0.07
1452,0.08
1454,0.12
1456,0.05
1458,0.07
1461,0.11
1462,0.08
1463,0.11
1464,0.09
1471,0.09
1472,0.09
1473,0.11
1474,0.07
1475,0.08
1476,0.13
1477,0.15
1481,0.08
1482,0.12
1483,0.06
1484,0.09
1485,0.16
1486,0.08
1487,0.06
1488,0.09
1489,0.12
1501,0.03
1502,0.04
1503,0.04
1504,0.04
1505,0.06
1506,0.06
1507,0.07
1508,0.04
1509,0.04
1511,0.08
1521,0.07
1525,0.08
1531,0.06
1534,0.05
1536,0.13
1541,0.04
1544,0.04
1546,0.08
1551,0.08
1561,0.03
1562,0.05
1566,0.06
1567,0.08
1601,0.05
1602,0.04
1606,0.05
1607,0.10
1608,0.07
1609,0.11
1611,0.04
1613,0.06
1614,0.05
1616,0.06
1617,0.05
1619,0.06
1621,0.07
1622,0.04
1623,0.06
1624,0.06
1625,0.05
1627,0.06
1628,0.06
1631,0.06
1633,0.05
1634,0.05
1636,0.05
1641,0.06
1642,0.13
1643,0.07
1645,0.05
1646,0.16
1647,0.06
1648,0.05
1652,0.05
1654,0.09
1655,0.08
1657,0.05
1658,0.05
1661,0.05
1662,0.04
1663,0.05
1671,0.06
1674,0.04
1676,0.05
1678,0.05
1679,0.05
1681,0.15
1682,0.04
1683,0.05
1684,0.07
1685,0.08
1686,0.07
1687,0.08
1688,0.05
1689,0.07
1691,0.06
1692,0.06
1693,0.07
1695,0.07
1696,0.07
1697,0.07
1701,0.05
1702,0.04
1703,0.06
1704,0.09
1705,0.07
1706,0.09
1711,0.06
1713,0.06
1715,0.05
1716,0.04
1718,0.05
1719,0.06
1721,0.09
1722,0.07
1723,0.04
1724,0.06
1731,0.06
1732,0.04
1733,0.05
1734,0.04
1735,0.05
