buurtcode,buurtnaam,wijkcode,gemeenteco,gemeentena,indelingsw,water,meestVoork,dekkingspe,omgevingsa,stedelijkh,bevolkings,aantalInwo,mannen,vrouwen,percentage,percenta_1,percenta_2,percenta_3,percenta_4,percenta_5,percenta_6,percenta_7,percenta_8,aantalHuis,percenta_9,percenta10,percenta11,gemiddelde,percenta12,percenta13,percenta14,percenta15,percGebInN,percGebI_1,percGebBui,percGebB_1,oppervlakt,oppervla_1,oppervla_2,jrstatcode,jaar,fuuid,max_overla,max_over_1,max_over_2,max_over_3,max_area,gm_code,gm_naam,gm_doel,doc_code,tvw_naam,doc_datum,doc_type,doc_status,doc_voorwa,doc_proces,doc_inhoud,bronvermel,pln_code,pln_naam,plansoort,startjaar,eindjaar,planstatus,planstat_1,planstat_2,techniekst,techniek_1,techniek_2,pln_voorwa,pln_doel,isolatiegr,isolatie_1,isolatie_2,installati,installa_1,installa_2,infrastruc,infrastr_1,infrastr_2,energiebro,energieb_1,energieb_2,energieb_3
BU02339997,Groot binnenwater,WK023399,GM0233,Ermelo,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU02339997,"2023",buurten.eee82791-8652-44b0-a576-dd906cb08098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU03759998,Buitenwater,WK037599,GM0375,Beverwijk,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU03759998,"2023",buurten.2c332065-f407-4b3e-9842-6c9f3fa35de6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU03839998,Buitenwater,WK038399,GM0383,Castricum,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU03839998,"2023",buurten.83fe9751-a648-40f5-b01a-60de74c1ba9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU03969998,Buitenwater,WK039699,GM0396,Heemskerk,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU03969998,"2023",buurten.fb9c032b-4751-486c-a651-6a39840fda05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU04489998,Buitenwater,WK044899,GM0448,Texel,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU04489998,"2023",buurten.f4153ca6-31b9-4ed9-80e0-9af1858babb4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU04989997,Groot binnenwater,WK049899,GM0498,Drechterland,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU04989997,"2023",buurten.e316c037-4888-4f6c-a53b-6313ae0822eb,,,,,0.047515094180615,GM0532,Stede Broec,aardgasvrij en fossiele brandstof-vrij in 2050,DC053201,"Transitievisie Warmte, Stede Broec, Enkhuizen, Drechterland",2021-08-16,"1","1","betaalbaar, draagvlak, overlast beperken",draagvlak bepaalt het tempo,fossiele brandstof-vrij in 2050,https://stedebroec.notubiz.nl/vergadering/806509#ai_6227111,PL0532010003,Buitengebied,"1","2022",onbekend,orienterend,orienterend,"7",voorkeursoptie,voorkeursoptie,"8",geen,zoveel mogelijk besparen van aardgas,Onbekend,Onbekend,"0",(Hybride) Warmtepomp,"hWP,eWP","6",Gasnet,"E,G","3",Hernieuwbaar gas,hernieuwbaar gas,hernieuwbaar gas,"36"
BU05329997,Groot binnenwater,WK053299,GM0532,Stede Broec,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU05329997,"2023",buurten.a6070168-0f08-487f-a97a-1f01f2103324,,,,,408.233818983543983,GM0532,Stede Broec,aardgasvrij en fossiele brandstof-vrij in 2050,DC053201,"Transitievisie Warmte, Stede Broec, Enkhuizen, Drechterland",2021-08-16,"1","1","betaalbaar, draagvlak, overlast beperken",draagvlak bepaalt het tempo,fossiele brandstof-vrij in 2050,https://stedebroec.notubiz.nl/vergadering/806509#ai_6227111,PL0532010003,Buitengebied,"1","2022",onbekend,orienterend,orienterend,"7",voorkeursoptie,voorkeursoptie,"8",geen,zoveel mogelijk besparen van aardgas,Onbekend,Onbekend,"0",(Hybride) Warmtepomp,"hWP,eWP","6",Gasnet,"E,G","3",Hernieuwbaar gas,hernieuwbaar gas,hernieuwbaar gas,"36"
BU05379998,Buitenwater,WK053799,GM0537,Katwijk,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU05379998,"2023",buurten.43b2038b-8f8a-4970-91dc-8417f31caa10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU05999998,Buitenwater,WK059999,GM0599,Rotterdam,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU05999998,"2023",buurten.080b40e1-fa3a-4bb0-a6f8-a28be36b9ce4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU19119998,Buitenwater,WK191199,GM1911,Hollands Kroon,"-99999999",JA,,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",-99999999.000000000000000,"-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999","-99999999",2023BU19119998,"2023",buurten.afe94fb8-3af0-46a9-a661-0830e14e2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
