scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,considered_annually,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,498584,498584,0,498584,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.13800424628450106,NATURAL_GAS_BOILER,TOTAL,491532,35727,42779,534311,49540,0.2864083823623841,0.616964120145133,0.9503471954469034,1607.6114251110214,0.7350506851962307,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.13800424628450106,NATURAL_GAS_BOILER,TOTAL,477328,26348,40552,560659,48023,0.2849452851409598,0.5935644176803059,0.8455372264113592,1605.6736980196988,0.713418151933808,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.13800424628450106,NATURAL_GAS_BOILER,TOTAL,464337,30268,43259,590927,51568,0.28515582337132894,0.6102940412506719,0.8454605355119541,1596.5468701520322,0.7384695390941869,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.13800424628450106,NATURAL_GAS_BOILER,TOTAL,447023,25195,42509,616122,49344,0.28582787893166134,0.6067043839162317,0.7994427461935618,1586.5609395265888,0.7386692628672373,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.13800424628450106,NATURAL_GAS_BOILER,TOTAL,427582,20678,40119,636800,48033,0.28444654284716264,0.6001634544406488,0.773973160186609,1615.814731538734,0.7323869009258602,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,406909,20090,40763,656890,49568,0.2846997893528665,0.5910783780571922,0.7423862072455123,1609.4197869593286,0.7226443438418784,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,384548,19174,41535,676064,51416,0.28678231954328054,0.587043072562247,0.6881555831647567,1599.0308853275244,0.7228495810619451,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,361012,17161,40697,693225,50625,0.28587198517900714,0.5921782823774489,0.6304972256114686,1594.1292839506173,0.7379872740699852,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,334919,14738,40831,707963,48748,0.2856573716101062,0.5889148510162727,0.5699197901782169,1602.96100352835,0.7407179598495948,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,306052,14759,43626,722722,52407,0.28372488569903526,0.569252828565013,0.49382045983052375,1573.840116778293,0.72122046394394,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,276616,14494,43930,737216,53303,0.28552175699468785,0.5683211314217255,0.4139923925381047,1561.5644522822356,0.729352208816661,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,248882,10250,37984,747466,45989,0.28755471262225163,0.5540069484728357,0.3275069973492947,1623.5398247406988,0.7181833698850296,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,232719,19564,35727,767030,29463,0.3320693924541369,0.5588198143629103,0.3296178371906801,1553.8457047822692,0.7140101437819895,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,222190,15819,26348,782849,19600,0.35170567871162123,0.5585046512171651,0.2853518345318589,1489.6295408163264,0.7141615778313534,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,211183,19261,30268,802110,18379,0.3742939215469933,0.578783474149499,0.2732564192466114,1608.1860819413462,0.7404446784316732,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,202245,16257,25195,818367,23666,0.2946878190191418,0.5451512090101167,0.1603319165432873,1668.3720104791685,0.7240133691924774,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,195012,13445,20678,831812,28623,0.28640833283744976,0.5174566185638579,0.11226197251575824,1727.3420675680397,0.6905500980719536,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,190157,15235,20090,847047,26253,0.26673324620924993,0.5241957648333471,0.08987849849907814,1683.9369214946864,0.7083755233853204,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,188219,17236,19174,864283,28702,0.2671442256663408,0.5259965374865917,0.07295908470546583,1645.661591526723,0.7130888642251192,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,186494,15436,17161,879719,28070,0.2578973130042873,0.519176405687562,0.057293741283357416,1704.467545422159,0.7071285626198469,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,186787,15031,14738,894750,29535,0.2553374895219549,0.5081687582112585,0.05375721715909223,1656.2919248349415,0.6916991127915109,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,188028,16000,14759,910750,30675,0.25192614228468013,0.5068784712112491,0.04517875510432488,1670.5858842705786,0.6916888268576706,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,189891,16357,14494,927107,32448,0.2625152810740631,0.516483769742021,0.04543013152231296,1645.1073409763314,0.7034180679042248,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2048,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,190177,10536,10250,937643,31127,0.26098485964855606,0.5200341088158895,0.040014906833194704,1675.2495261348668,0.7098030849575458,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2049,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,190723,20110,19564,957753,34842,0.26814850497061726,0.5076000984746797,0.03901568825745236,1648.3044027323344,0.6894860604371784,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2050,0.0,0.5445859872611465,NATURAL_GAS_BOILER,TOTAL,191653,16749,15819,974502,36566,0.2724803800664949,0.5135986225028212,0.03274296920630322,1618.5803752119455,0.6981849675868269,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,347750,347750,0,347750,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.13800424628450106,NATURAL_GAS_BOILER,PRIVATELY_OWNED,339845,20475,28380,368225,33422,0.2864083823623841,0.616964120145133,0.9503471954469034,1705.0700137633894,0.7350506851962307,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.13800424628450106,NATURAL_GAS_BOILER,PRIVATELY_OWNED,324400,12802,28247,381027,33418,0.2849452851409598,0.5935644176803059,0.8455372264113592,1697.9603207852056,0.713418151933808,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
