scenario,iteration,year,heating_system,ownership,installed_cumulative,installed_current,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,removed_this_year
0,0,2024,NATURAL_GAS_BOILER,Total,210467,210467,0,210467,0.0,0.0,0.0,0.0,0.0
0,0,2025,NATURAL_GAS_BOILER,Total,214176,23503,19794,233970,0.0,0.0,0.0,4154.0,0.0
0,0,2026,NATURAL_GAS_BOILER,Total,216536,13912,11552,247882,0.0,0.0,0.0,4171.0,0.0
0,0,2027,NATURAL_GAS_BOILER,Total,218830,14040,11746,261922,0.0,0.0,0.0,4232.0,0.0
0,0,2028,NATURAL_GAS_BOILER,Total,222091,16618,13357,278540,0.0,0.0,0.0,4108.0,0.0
0,0,2029,NATURAL_GAS_BOILER,Total,224932,16411,13570,294951,0.0,0.0,0.0,4156.0,0.0
0,0,2030,NATURAL_GAS_BOILER,Total,228119,17702,14515,312653,0.0,0.0,0.0,4167.0,0.0
0,0,2031,NATURAL_GAS_BOILER,Total,231469,19832,16482,332485,0.0,0.0,0.0,4114.0,0.0
0,0,2032,NATURAL_GAS_BOILER,Total,234875,23728,20322,356213,0.0,0.0,0.0,4030.0,0.0
0,0,2033,NATURAL_GAS_BOILER,Total,236681,29426,27620,385639,0.0,0.0,0.0,4080.0,0.0
0,0,2034,NATURAL_GAS_BOILER,Total,237622,26312,25371,411951,0.0,0.0,0.0,4052.0,0.0
0,0,2035,NATURAL_GAS_BOILER,Total,239715,19347,17254,431298,0.0,0.0,0.0,4110.0,0.0
0,0,2036,NATURAL_GAS_BOILER,Total,241768,15938,13885,447236,0.0,0.0,0.0,4133.0,0.0
0,0,2037,NATURAL_GAS_BOILER,Total,242088,25083,24763,472319,0.0,0.0,0.0,4138.0,0.0
0,0,2038,NATURAL_GAS_BOILER,Total,242719,15601,14970,487920,0.0,0.0,0.0,4223.0,0.0
0,0,2039,NATURAL_GAS_BOILER,Total,243068,14964,14615,502884,0.0,0.0,0.0,4264.0,0.0
0,0,2040,NATURAL_GAS_BOILER,Total,242666,13894,14296,516778,0.0,0.0,0.0,3964.0,0.0
0,0,2041,NATURAL_GAS_BOILER,Total,242465,13802,14003,530580,0.0,0.0,0.0,3929.0,0.0
0,0,2042,NATURAL_GAS_BOILER,Total,241621,14351,15195,544931,0.0,0.0,0.0,3997.0,0.0
0,0,2043,NATURAL_GAS_BOILER,Total,240510,16410,17521,561341,0.0,0.0,0.0,3828.0,0.0
0,0,2044,NATURAL_GAS_BOILER,Total,238716,15965,17759,577306,0.0,0.0,0.0,3921.0,0.0
0,0,2045,NATURAL_GAS_BOILER,Total,237082,15874,17508,593180,0.0,0.0,0.0,4018.0,0.0
0,0,2046,NATURAL_GAS_BOILER,Total,234830,18428,20680,611608,0.0,0.0,0.0,3853.0,0.0
0,0,2047,NATURAL_GAS_BOILER,Total,231259,19345,22916,630953,0.0,0.0,0.0,3877.0,0.0
0,0,2048,NATURAL_GAS_BOILER,Total,225125,22141,28275,653094,0.0,0.0,0.0,3984.0,0.0
0,0,2049,NATURAL_GAS_BOILER,Total,220395,29417,34147,682511,0.0,0.0,0.0,3889.0,0.0
0,0,2050,NATURAL_GAS_BOILER,Total,217870,16772,19297,699283,0.0,0.0,0.0,3881.0,0.0
0,0,2024,NATURAL_GAS_BOILER,PRIVATELY_OWNED,113870,113870,0,113870,0.0,0.0,0.0,0.0,0.0
