scenario,scenario_name,iteration,year,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2023,NATURAL_GAS_BOILER,TOTAL,210467,210467,0,210467,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,NATURAL_GAS_BOILER,TOTAL,214022,21988,18433,232455,0.0,0.4246636481242953,0.5659018149299981,1472.2171184282336,0.5663085925187923,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,NATURAL_GAS_BOILER,TOTAL,216340,14298,11980,246753,0.0,0.4279912074533877,0.5816745971987654,1449.5009791579241,0.5675064707204531,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,NATURAL_GAS_BOILER,TOTAL,218466,13697,11571,260450,0.0,0.4249870683959938,0.5847554554658004,1454.4839745929767,0.5614762728314797,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,NATURAL_GAS_BOILER,TOTAL,220601,14878,12743,275328,0.0,0.38879431152108856,0.541743861491119,1453.5330017475467,0.5117205736101178,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,NATURAL_GAS_BOILER,TOTAL,223129,16075,13547,291403,0.0,0.3743681928271766,0.5287715322059572,1430.5101088646968,0.4906964642163191,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,NATURAL_GAS_BOILER,TOTAL,224848,15787,14068,307190,0.0,0.3818911896603287,0.5473182762391299,1445.5876987394693,0.49829396049223856,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,NATURAL_GAS_BOILER,TOTAL,225729,17561,16680,324751,0.0,0.36871669362797516,0.535561052948931,1411.5763339217585,0.4790683168054051,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,NATURAL_GAS_BOILER,TOTAL,223845,18207,20091,342958,0.0,0.35235097786288805,0.5200395396659367,1435.8465425385841,0.45544752214611356,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,NATURAL_GAS_BOILER,TOTAL,217902,19404,25347,362362,0.0,0.3431969770246229,0.5158906036621356,1456.66625438054,0.44094035956731525,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,NATURAL_GAS_BOILER,TOTAL,211861,17840,23881,380202,0.0,0.3623287016446621,0.5530747786388807,1476.1641816143497,0.46311355177974256,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,NATURAL_GAS_BOILER,TOTAL,210004,15919,17776,396121,0.0,0.4600040285155859,0.7097229230404998,1417.2198002387086,0.5858003565865715,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,NATURAL_GAS_BOILER,TOTAL,209473,13756,14287,409877,0.0,0.4768254542182293,0.7475850371891156,1465.6187118348357,0.6038193394629262,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,NATURAL_GAS_BOILER,TOTAL,205888,23497,27082,433374,0.0,0.515864117580991,0.8149302916621172,1492.012129207984,0.6515012610925083,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,NATURAL_GAS_BOILER,TOTAL,204772,14200,15316,447574,0.0,0.525715858240949,0.8385279808578542,1436.2251408450704,0.6616477624536602,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,NATURAL_GAS_BOILER,TOTAL,203242,13110,14640,460684,0.0,0.5177812703054603,0.8335100765368465,1477.5266209000763,0.6494792986559725,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,NATURAL_GAS_BOILER,TOTAL,201343,12419,14318,473103,0.0,0.5171434669207947,0.8351807017766643,1485.0986391818988,0.6479085999280233,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,NATURAL_GAS_BOILER,TOTAL,199735,11787,13395,484890,0.0,0.5564483779954306,0.9008638127415941,1484.140154407398,0.6965218443517089,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,NATURAL_GAS_BOILER,TOTAL,198046,11727,13416,496617,0.0,0.5547588696578185,0.899413593898185,1487.1866632557346,0.69403989258534,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,NATURAL_GAS_BOILER,TOTAL,195174,12863,15735,509480,0.0,0.5399149460660532,0.8761824158664999,1468.873279950245,0.6752306458656595,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,NATURAL_GAS_BOILER,TOTAL,192041,12871,16004,522351,0.0,0.5372845991621883,0.8740557050335197,1465.8004817030533,0.6713291114113094,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,NATURAL_GAS_BOILER,TOTAL,189053,13131,16119,535482,0.0,0.54129609925107,0.8817763530967173,1472.6353666895134,0.6760000692599112,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,NATURAL_GAS_BOILER,TOTAL,185741,13032,16344,548514,0.0,0.5271343070580936,0.8595262551667802,1479.2688766114181,0.6580798820519322,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,NATURAL_GAS_BOILER,TOTAL,181789,14988,18940,563502,0.0,0.5152417803303803,0.8391493698190517,1411.7832933013078,0.6435146606180632,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,NATURAL_GAS_BOILER,TOTAL,177140,13958,18607,577460,0.0,0.494872029462405,0.8088472683296901,1450.9878206046712,0.6172528309842026,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2048,NATURAL_GAS_BOILER,TOTAL,173545,24335,27930,601795,0.0,0.5154897257346548,0.8447588552332677,1481.4891308814465,0.642336999764195,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2049,NATURAL_GAS_BOILER,TOTAL,172238,14464,15771,616259,0.0,0.5490314411075736,0.9004128530418305,1415.346169800885,0.6839359410296013,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2050,NATURAL_GAS_BOILER,TOTAL,171092,12669,13815,628928,0.0,0.5548054192589973,0.9137620694790248,1472.8010892730288,0.6900201274499775,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2023,NATURAL_GAS_BOILER,PRIVATELY_OWNED,113870,113870,0,113870,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,NATURAL_GAS_BOILER,PRIVATELY_OWNED,116706,16774,13938,130644,0.0,0.5566653329532016,0.7418057175796351,1492.7854417550973,0.7423389371827355,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,NATURAL_GAS_BOILER,PRIVATELY_OWNED,118689,10937,8954,141581,0.0,0.5595152495353879,0.760426386646059,1469.409344427174,0.7419043173046574,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,NATURAL_GAS_BOILER,PRIVATELY_OWNED,120517,10386,8558,151967,0.0,0.56047062158867,0.7711722966989283,1493.6193914885423,0.7404718379523183,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,NATURAL_GAS_BOILER,PRIVATELY_OWNED,122290,10291,8518,162258,0.0,0.562091319289744,0.783214961739857,1492.6274414536974,0.7398094154281734,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,NATURAL_GAS_BOILER,PRIVATELY_OWNED,124344,10688,8634,172946,0.0,0.5630584486991826,0.7952846538370848,1490.2508420658683,0.738018868102295,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,NATURAL_GAS_BOILER,PRIVATELY_OWNED,126409,10677,8612,183623,0.0,0.5646638766664428,0.8092641778577451,1494.3038306640442,0.7367768806116859,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,NATURAL_GAS_BOILER,PRIVATELY_OWNED,128769,11428,9068,195051,0.0,0.5665937921596843,0.8229775683265819,1469.9089079453972,0.7361671956090059,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,NATURAL_GAS_BOILER,PRIVATELY_OWNED,131424,11308,8653,206359,0.0,0.5673199729350551,0.8373151661388142,1478.6883622214361,0.733315620420436,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,NATURAL_GAS_BOILER,PRIVATELY_OWNED,134333,11696,8787,218055,0.0,0.5693736441677311,0.8558773318621818,1477.6179890560875,0.7315327237554877,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,NATURAL_GAS_BOILER,PRIVATELY_OWNED,136960,11297,8670,229352,0.0,0.572182352601644,0.8734048022410933,1478.0231919978755,0.7313398038196519,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,NATURAL_GAS_BOILER,PRIVATELY_OWNED,139471,12677,10166,242029,0.0,0.5776448789098061,0.8912265687372182,1398.1037311666798,0.7356122013490283,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,NATURAL_GAS_BOILER,PRIVATELY_OWNED,141942,11340,8869,253369,0.0,0.5784136638647233,0.9068588863821406,1449.1672839506173,0.7324637419446219,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,NATURAL_GAS_BOILER,PRIVATELY_OWNED,143464,20739,19217,274108,0.0,0.5844669063503808,0.9233047429087596,1486.0992815468442,0.7381419129124194,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,NATURAL_GAS_BOILER,PRIVATELY_OWNED,145277,12750,10937,286858,0.0,0.5855031519232531,0.9338899865240415,1424.309019607843,0.7368939785758412,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,NATURAL_GAS_BOILER,PRIVATELY_OWNED,146446,11555,10386,298413,0.0,0.5874610518134646,0.9456786761919566,1476.5306793595846,0.7368821813396624,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
