scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,211360,211360,0,211360,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,197640,13250,26970,224610,0.0044359916308460805,0.009533159552472845,0.01052072068522615,23.287916064878026,0.011232215526348394,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,189640,9814,17814,234424,0.00537760726107012,0.011698366546329272,0.01140271181205878,28.40452132346051,0.013805286308082356,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,181502,9591,17729,244015,0.00647492380649673,0.0144432035013878,0.012415966559904104,34.199049052323545,0.017099296733018233,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,173220,13806,22088,257821,0.004794102812282739,0.010239351012747751,0.00819359195997458,24.880560020083667,0.012054433746236097,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,166254,10078,17044,267899,0.004703744639723516,0.010308283572327019,0.0072981184662290486,24.958563083887196,0.012176463216528205,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,158722,9080,16612,276979,0.00369495394648794,0.00797033207074682,0.004862318848573133,19.073628483861153,0.009395458112166504,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,150904,6940,14758,283919,0.004459656366672303,0.009638533895824648,0.004971696214688395,22.985261611304153,0.011364826405542067,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,144856,8232,14280,292151,0.0033939765739488567,0.007280521152955877,0.0031196769083101763,17.62386456328748,0.008576036012624903,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,135974,4180,13062,296331,0.006050236081439258,0.013100390000766592,0.004351408873801233,30.979259961716103,0.015450441307209104,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
