scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,considered_annually,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,468698,513506,44808,513506,102233,0.2856921017889141,0.6552212474777586,0.999875649746667,1896.3318595756753,0.7864243895510759,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,451235,28477,45940,541983,97253,0.2914761716184778,0.6404647944863248,0.8762725234698571,1849.9143985275518,0.7782940833911582,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,434887,25359,41707,567342,90808,0.2987939832426943,0.6545863240205634,0.9619070642028739,1837.3845035679676,0.7869426071948051,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,416977,20543,38453,587885,84892,0.3037517337926164,0.6683590385723005,0.9585701561797916,1833.9001790510295,0.806779354887805,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,395417,18928,40488,606813,86787,0.30689619175189536,0.661903788547348,0.9566457641474317,1823.6976851371749,0.7965509143646292,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.04421768707482993,NATURAL_GAS_BOILER,TOTAL,370565,17048,41900,623861,80543,0.3113576746880655,0.6528259686335043,0.9372745576153428,1835.7968911016476,0.7842402145763007,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.05555555555555555,NATURAL_GAS_BOILER,TOTAL,344578,17671,43658,641532,80068,0.31703109609163277,0.6535880112126231,0.9118435040364995,1783.3984737972723,0.787143804791455,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.0691609977324263,NATURAL_GAS_BOILER,TOTAL,314011,12749,43316,654281,76623,0.3165555951218728,0.653381330713346,0.8653963173338505,1765.8071205773724,0.7927585576228239,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.08616780045351474,NATURAL_GAS_BOILER,TOTAL,279837,12660,46834,666941,76021,0.3207689478907965,0.6539239578883556,0.8402962580241815,1766.726009918312,0.7956566676068264,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.0,0.10317460317460317,NATURAL_GAS_BOILER,TOTAL,246419,11654,45072,678595,69464,0.3237340527659647,0.6430789072774012,0.7745770583364375,1770.3713722215823,0.7868627154325547,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,0.0,0.1111111111111111,NATURAL_GAS_BOILER,TOTAL,210301,6066,42184,684661,60445,0.33090737937777576,0.6374825013861601,0.7042666867707063,1752.0094631483166,0.7854635713884602,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,0.0,0.12244897959183673,NATURAL_GAS_BOILER,TOTAL,181831,6284,34754,690945,52612,0.3350835935157455,0.6350071876823861,0.6626359925638651,1717.1033224359462,0.785910384074167,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,0.0,0.13718820861678005,NATURAL_GAS_BOILER,TOTAL,146783,2934,37982,693879,57846,0.3107689702174077,0.6083826685693435,0.5272452118655646,1789.36612730353,0.7689761088164673,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,0.0,0.15079365079365079,NATURAL_GAS_BOILER,TOTAL,123040,2863,26606,696742,55097,0.2914479416288501,0.5789521681555717,0.4216243003557353,1914.1201880320164,0.7428632292816686,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,0.0,0.16326530612244897,NATURAL_GAS_BOILER,TOTAL,102105,2539,23474,699281,57308,0.27571757798011615,0.5628000377057475,0.3251749021828081,1974.976722272632,0.7346237992907343,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,0.0,0.17233560090702948,NATURAL_GAS_BOILER,TOTAL,85829,1925,18201,701206,60766,0.25680554733644956,0.55171497442021,0.24214009418256294,1987.348961590363,0.7331035630233902,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,0.0,0.18820861678004536,NATURAL_GAS_BOILER,TOTAL,72752,1647,14724,702853,71769,0.2475022423771004,0.5443427127729232,0.1878610975822628,1896.1321740584374,0.7311558713673195,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,0.0,0.2018140589569161,NATURAL_GAS_BOILER,TOTAL,60285,1478,13945,704331,80024,0.24714736883220023,0.5298517543876305,0.1469902598708384,1897.3035464360692,0.7146170068895538,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,0.0,0.22108843537414966,NATURAL_GAS_BOILER,TOTAL,47316,1469,14438,705800,87036,0.2495035839034249,0.5405311103343208,0.11072522702122303,1893.7126361505584,0.7345801161479717,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,0.0,0.23242630385487528,NATURAL_GAS_BOILER,TOTAL,39375,1846,9787,707646,93762,0.25231966692308455,0.5259085238943643,0.08435932096442815,1878.3031931912715,0.7152379539902357,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,0.0,0.23242630385487528,NATURAL_GAS_BOILER,TOTAL,32306,1495,8564,709141,97070,0.2544901087843106,0.5250693623130875,0.06324624147604699,1895.6367466776553,0.716075736089043,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,0.0,0.23242630385487528,NATURAL_GAS_BOILER,TOTAL,26177,1460,7589,710601,106057,0.26001489588320176,0.5166242089740394,0.050601117602467716,1875.716209208256,0.7036074497899475,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,0.0,0.23242630385487528,NATURAL_GAS_BOILER,TOTAL,23412,1132,3897,711733,111071,0.26966406671694426,0.5062928946903976,0.04263823249391847,1871.657606395909,0.6866935462946298,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2048,0.0,0.23242630385487528,NATURAL_GAS_BOILER,TOTAL,19981,1471,4902,713204,113591,0.2815910335858909,0.5236719386033404,0.037264007448005725,1855.220466410191,0.7104521485775287,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2049,0.0,0.23242630385487528,NATURAL_GAS_BOILER,TOTAL,19108,1075,1948,714279,107478,0.2930068433533865,0.5273512642764291,0.03710793971309776,1857.734066506634,0.71313669311217,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2050,0.0,0.23242630385487528,NATURAL_GAS_BOILER,TOTAL,18180,1425,2353,715704,105231,0.3041325193249514,0.5289854645730896,0.03801314258413113,1824.645028556224,0.7126934242053817,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.024943310657596373,NATURAL_GAS_BOILER,PRIVATELY_OWNED,303252,332936,29684,332936,83901,0.2856921017889141,0.6552212474777586,0.999875649746667,1983.5011382462665,0.7864243895510759,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.024943310657596373,NATURAL_GAS_BOILER,PRIVATELY_OWNED,292605,20074,30721,353010,78154,0.2914761716184778,0.6404647944863248,0.8762725234698571,1941.7048135732016,0.7782940833911582,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
