scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,considered_annually,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,473537,473537,0,473537,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,473947,39672,39262,513209,44532,0.2869660833337892,0.6576507828487944,0.99988219851535,1813.81981496452,0.7897493786253271,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,470632,34110,37425,547319,41035,0.2854819409822277,0.6487284161355082,0.9638611637841265,1843.8009016693068,0.7812394934846845,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,467842,34666,37456,581985,42612,0.2854526326183075,0.6570316967956449,0.9729649605032468,1824.753027316249,0.7925637669759867,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,462170,31775,37447,613760,41005,0.2862776251434416,0.6489676781985895,0.9665178564528757,1848.4879161077918,0.7810673789554246,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,455686,33824,40308,647584,45227,0.2847155801411884,0.6545974706272608,0.9672270179561847,1818.9875074623565,0.7898139336610646,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.04081632653061224,NATURAL_GAS_BOILER,TOTAL,446865,28881,37702,676465,42173,0.28436459676210385,0.6444154079824779,0.9515522042393917,1833.3419960638323,0.7765879372532697,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.05328798185941043,NATURAL_GAS_BOILER,TOTAL,438422,32449,40892,708914,46494,0.2850218572310354,0.6403299218405891,0.9538635589335696,1789.113111369209,0.770006473586422,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.06689342403628118,NATURAL_GAS_BOILER,TOTAL,426554,25699,37567,734613,42077,0.2857483370681172,0.6434420511118153,0.9216170983222204,1841.9033438695724,0.7785238551104181,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.07936507936507936,NATURAL_GAS_BOILER,TOTAL,412652,31303,45205,765916,51273,0.2861527175084572,0.6416348809146262,0.9295793849066663,1742.743646753652,0.7747167188814865,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.0,0.09410430839002268,NATURAL_GAS_BOILER,TOTAL,397754,23087,37985,789003,43140,0.28686617982507234,0.6570774585136913,0.8772303213620871,1789.9500927213724,0.8042458526440056,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,0.0,0.10884353741496598,NATURAL_GAS_BOILER,TOTAL,378783,24452,43423,813455,49791,0.28532726256918384,0.6444447235337768,0.8870893925905287,1755.874776566046,0.7844490955845532,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,0.0,0.12585034013605442,NATURAL_GAS_BOILER,TOTAL,362442,22524,38865,835979,45756,0.286384467543768,0.639403236269188,0.8483809229333193,1779.237389631961,0.7814611221511718,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,0.0,0.13718820861678005,NATURAL_GAS_BOILER,TOTAL,341535,18765,39672,854744,42584,0.29407111704700456,0.6376044267668888,0.8319102596243523,1769.4445096749953,0.7789000784355387,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,0.0,0.15306122448979592,NATURAL_GAS_BOILER,TOTAL,324640,17215,34110,871959,36993,0.30086792499114423,0.6406569615473174,0.8290547713472032,1783.3321979834022,0.7821366146547809,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,0.0,0.1712018140589569,NATURAL_GAS_BOILER,TOTAL,305001,15027,34666,886986,37213,0.29962420652043,0.6358536387679018,0.8019714199277005,1781.6359336790906,0.7786279790307732,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,0.0,0.17687074829931973,NATURAL_GAS_BOILER,TOTAL,286941,13715,31775,900701,36581,0.29645764307089656,0.6383217421945625,0.7671301787109612,1822.065061097291,0.787476930185245,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,0.0,0.1870748299319728,NATURAL_GAS_BOILER,TOTAL,265253,12136,33824,912837,40690,0.2900148233219594,0.6198815684132672,0.7205581577912314,1825.1144998771197,0.7672488770654967,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,0.0,0.20294784580498867,NATURAL_GAS_BOILER,TOTAL,246727,10355,28881,923192,36721,0.29628549288230666,0.625404677527953,0.6907118397385941,1816.4691048718717,0.7776966631040265,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,0.0,0.21768707482993196,NATURAL_GAS_BOILER,TOTAL,225779,11501,32449,934693,41671,0.29790564272123016,0.6050383906029047,0.6499539799646388,1778.2787070144705,0.751836927728469,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,0.0,0.23469387755102042,NATURAL_GAS_BOILER,TOTAL,208743,8663,25699,943356,37108,0.2985599731327915,0.6140286332405172,0.5979903235867942,1813.0088390643527,0.7716541661292279,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,0.0,0.23469387755102042,NATURAL_GAS_BOILER,TOTAL,189937,12497,31303,955853,44538,0.2960113224993338,0.598623458330203,0.5579546222731383,1739.816471327855,0.7541880290863334,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,0.0,0.23469387755102042,NATURAL_GAS_BOILER,TOTAL,173662,6812,23087,962665,37224,0.293539306434235,0.6058864925302455,0.47842524414732934,1824.9662045991834,0.7756417566683914,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,0.0,0.23469387755102042,NATURAL_GAS_BOILER,TOTAL,157604,8394,24452,971059,40906,0.2925175514688216,0.5827024244527494,0.447541167330882,1780.1945924803208,0.7449816028955607,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
