scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,considered_annually,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,473537,473537,0,473537,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,462900,27361,37998,500898,42510,0.2868063805878189,0.5900922821254083,0.9977694432984906,1816.9888732063043,0.6887156476288319,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,451284,28384,40000,529282,44793,0.28604285198991425,0.5958037638145463,0.9361456453565519,1810.3044895407766,0.7051767270547822,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,437719,24774,38339,554056,43426,0.2862048580522987,0.5817167903553031,0.9059774880408227,1827.2428729332657,0.6877767850147836,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,421173,24195,40741,578251,45565,0.2867781682695933,0.5775914417958156,0.8870303426685981,1819.3497201799628,0.6838138277927444,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,403128,19318,37363,597569,42263,0.2867638512734127,0.5795272693259087,0.8509580155440811,1839.4549132811205,0.6912301892274951,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.035147392290249435,NATURAL_GAS_BOILER,TOTAL,381080,22302,44350,619871,49961,0.285994508050628,0.5727695319817124,0.8329895272893998,1763.6186425411822,0.6835319800487384,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.048752834467120185,NATURAL_GAS_BOILER,TOTAL,360422,16939,37597,636810,42866,0.2865885390629175,0.5735081942628044,0.759196399023251,1823.278425792003,0.6937156067505731,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.06462585034013606,NATURAL_GAS_BOILER,TOTAL,337489,19365,42298,656175,47381,0.2858574108416275,0.5748978700452114,0.7314199688140728,1768.635845592115,0.6994549562556663,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.08503401360544217,NATURAL_GAS_BOILER,TOTAL,312339,12045,37195,668220,42286,0.28571237757481455,0.5638123544372684,0.648874464557517,1835.2383767677245,0.6931811291925132,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.0,0.10090702947845805,NATURAL_GAS_BOILER,TOTAL,283535,10933,39737,679153,44501,0.28652836055314784,0.564108574683392,0.6172873632056177,1785.0931664456978,0.6973698514860892,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,0.0,0.1145124716553288,NATURAL_GAS_BOILER,TOTAL,254800,11274,40009,690427,45787,0.28693494958974514,0.5551170699036057,0.5366292961500548,1778.1387074933932,0.6938632054392027,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,0.0,0.13151927437641722,NATURAL_GAS_BOILER,TOTAL,226145,9255,37910,699682,42696,0.2852109016749837,0.5417424277712701,0.45017586370649065,1819.313823308975,0.6850389332748439,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,0.0,0.1417233560090703,NATURAL_GAS_BOILER,TOTAL,206107,7323,27361,707005,30422,0.31964392580823575,0.537982245383052,0.414613265627104,1711.0077904148313,0.6752357284191346,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,0.0,0.15873015873015872,NATURAL_GAS_BOILER,TOTAL,185315,7592,28384,714597,31738,0.31735759990191337,0.5547586197485649,0.3735360387064513,1706.5832125527759,0.7061065248090611,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,0.0,0.1712018140589569,NATURAL_GAS_BOILER,TOTAL,168050,7509,24774,722106,27637,0.3263568361242798,0.537789681352404,0.3337153098669905,1710.6763035061692,0.6833808992641598,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,0.0,0.1836734693877551,NATURAL_GAS_BOILER,TOTAL,150099,6244,24195,728350,39131,0.2894253671705345,0.5133406050827104,0.24674697627083825,1808.1824640310751,0.6668111937975765,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,0.0,0.19727891156462585,NATURAL_GAS_BOILER,TOTAL,135846,5065,19318,733415,35534,0.29178957078564827,0.5098984737024636,0.21375252756044738,1836.6399504699725,0.665181251912231,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,0.0,0.21541950113378686,NATURAL_GAS_BOILER,TOTAL,120502,6958,22302,740373,40730,0.2870110217330944,0.5019842798685703,0.17725279989280684,1772.096538178247,0.6590670643829805,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,0.0,0.2290249433106576,NATURAL_GAS_BOILER,TOTAL,107843,4280,16939,744653,38126,0.2857637190388923,0.500861281443977,0.1433818395576043,1834.812673765934,0.6619282624615366,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,0.0,0.24263038548752835,NATURAL_GAS_BOILER,TOTAL,93883,5405,19365,750058,42136,0.28261993212491854,0.49708142118817794,0.12140207664910216,1769.017585912284,0.6597918891699054,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,0.0,0.24263038548752835,NATURAL_GAS_BOILER,TOTAL,85168,3330,12045,753388,39492,0.2839355517852004,0.4876914280290171,0.09567883832808881,1835.0227387825382,0.6485933993062097,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
