buurtcode,district_heating,district_heating_infra,installatie_code,installatie,infra_code,infra,status_code,status,isolatiegraad_code,isolatiegraad,start_jaar,eind_jaar
BU00349997,TRUE,TRUE,4,Wnet,4,"E,W",plan moet nog uitgewerkt worden,kansrijke optie,5,Schillabel B+,2022,2040
BU00509997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",advies aan bewoners,Voorkeursoptie,1,Geen maatregelen,0,0
BU00609998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",orienterend,voorsorterend,0,Onbekend,2021,0
BU00729998,TRUE,TRUE,4,Wnet,4,"E,W",orienterend,voorkeursoptie,0,Onbekend,0,2050
BU00889998,FALSE,FALSE,6,"hWP,eWP",0,Onbekend,concept,voorkeursoptie,0,Onbekend,2022,2050
BU00939998,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,definitief,definitief,6,Schillabel C+,2022,2030
BU00969998,FALSE,FALSE,0,Onbekend,0,Onbekend,in uitvoering,voorkeursoptie,0,Onbekend,2022,2030
BU01669997,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU01719997,FALSE,FALSE,2,hWP,3,"E,G",definitief,definitief,3,Standaard en Streefwaarden,2021,0
BU01849997,FALSE,FALSE,2,hWP,3,"E,G",afwachtend,orienterend,0,Onbekend,2030,2050
BU02309997,TRUE,FALSE,4,Wnet,0,Onbekend,onderzoekend,verkennend,0,Onbekend,2023,2041
BU02339997,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU02439997,TRUE,FALSE,13,"eWP,Wnet,Hr",0,Onbekend,onbekend,onbekend,0,Onbekend,0,0
BU02679997,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,voorkeursoptie,voorkeursoptie,0,Onbekend,0,0
BU02699997,FALSE,FALSE,5,"hWP,Hr",0,Onbekend,concept,voorkeursoptie,0,Onbekend,2030,0
BU02739997,FALSE,FALSE,0,Onbekend,0,Onbekend,definitief,onbekend,3,Standaard en Streefwaarden,2020,2050
BU03029997,FALSE,FALSE,3,eWP,2,E,uitgesteld,voorkeursoptie,0,Onbekend,2023,2038
BU03039997,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU03139997,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,voorkeursoptie,0,Onbekend,2022,2030
BU03179997,FALSE,FALSE,3,eWP,2,E,"In concept(afwachtend). De gemeente wil bewoners en ondernemers hier zo lang mogelijk de tijd voor geven en kiest daarom voor een natuurlijk tempo: niet de hele buurt tegelijk, maar elk gebouw op een logisch moment, bijvoorbeeld bij een verbouwing of ver",voorsorterend. Voor deze buurten liggen individuele warmteoplossingen per gebouw voor de hand.,8,Schillabel D/C (<1940) A/B (overig),2022,2040
BU03639997,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,voorkeursoptie,0,Onbekend,2020,2040
BU03639998,TRUE,TRUE,4,Wnet,6,"E,W,K",verkennend,voorkeursoptie,1,Geen maatregelen,0,0
BU03739998,TRUE,TRUE,4,Wnet,4,"E,W",onderzoekend,kansrijke optie,0,Onbekend,2022,0
BU03759998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU03769997,FALSE,FALSE,0,Onbekend,0,Onbekend,WUP wordt opgesteld. Plan van aanpak wordt opgesteld,voorsorterend,0,Onbekend,2022,0
BU03779998,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU03839998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU03849997,TRUE,TRUE,15,"hWP,eWP,Wnet",4,"E,W",onbekend,Voorsorterend. Langs de grens tussen Duivendrecht en Diemen-Zuid loopt een bestaand warmtenet van Vattenfal (MT/HT).Haalbaarheid onderzoeken voor een LT-warmtenet via Aquathermie en (in combinatie met) restwarmte datacenter.,0,Onbekend,0,0
BU03859997,FALSE,FALSE,0,Onbekend,0,Onbekend,definitief,voorkeursoptie,0,Onbekend,0,0
BU03889997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,2022,0
BU03969998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU04009998,FALSE,FALSE,0,Onbekend,0,Onbekend,in uitvoering,onbekend,0,Onbekend,0,2024
BU04059997,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorsorterend,3,Standaard en Streefwaarden,2025,0
BU04069997,FALSE,FALSE,3,eWP,2,E,verkennend,voorkeursoptie,5,Schillabel B+,2022,2050
BU04209997,FALSE,FALSE,3,eWP,2,E,verkennend,kansrijke optie,0,Onbekend,0,0
BU04419998,TRUE,TRUE,4,Wnet,4,"E,W",orienterend,voorkeursoptie,3,Standaard en Streefwaarden,2022,0
BU04489998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU04539998,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend,0,Onbekend,0,2030
BU04739998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",Uitvoerend,voorkeursoptie,2,"Isolatie, geen specifiek niveau benoemd",2021,2050
BU04989997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,2022,0
BU05059997,FALSE,FALSE,3,eWP,2,E,voorzet voor individuele actie,definitief,0,Onbekend,2021,2050
BU05189998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",plan is vastgesteld,definitief,0,Onbekend,2020,2050
BU05329997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,2022,0
BU05379998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU05759998,FALSE,FALSE,14,"hWP,eWP,Hr",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,0,0
BU05999998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU06299998,FALSE,FALSE,3,eWP,2,E,orienterend,voorkeursoptie,3,Standaard en Streefwaarden,2022,0
BU06549998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU06649997,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorkeursoptie,3,Standaard en Streefwaarden,0,0
BU06649998,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorkeursoptie,3,Standaard en Streefwaarden,0,0
BU06779998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU06789998,FALSE,FALSE,6,"hWP,eWP",3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU06879997,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07039998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07159998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07169997,FALSE,FALSE,3,eWP,2,E,"In concept (afwachtend). In deze buurten kiest de gemeente Steenbergen voor een geleidelijk tempo: niet de hele buurt tegelijk, maar elk gebouw op een logisch moment, bijvoorbeeld bij een verbouwing of verhuizing. De gemeente wil bewoners hier zo lang mo","voorsorterend. Hier liggen individuele oplossingen, zoals een warmtepomp, het meest voor de hand.",8,Schillabel D/C (<1940) A/B (overig),2022,2050
BU07169998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07179997,TRUE,FALSE,15,"hWP,eWP,Wnet",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,0,2050
BU07179998,TRUE,FALSE,15,"hWP,eWP,Wnet",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,0,2050
BU07189998,TRUE,FALSE,15,"hWP,eWP,Wnet",3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2023
BU08519997,FALSE,FALSE,3,eWP,2,E,"In concept (afwachtend). In deze buurten kiest de gemeente Steenbergen voor een geleidelijk tempo: niet de hele buurt tegelijk, maar elk gebouw op een logisch moment, bijvoorbeeld bij een verbouwing of verhuizing. De gemeente wil bewoners hier zo lang mo","voorsorterend. Hier liggen individuele oplossingen, zoals een warmtepomp, het meest voor de hand.",8,Schillabel D/C (<1940) A/B (overig),2022,2050
BU08529997,FALSE,FALSE,3,eWP,2,E,definitief,voorkeursoptie,0,Onbekend,0,0
BU09959997,FALSE,FALSE,0,onbekend,0,Onbekend,definitief,in onderzoek; warmtenet,2,no match,2030,2040
