gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,g_hh_sti,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,g_hh_sti_2021,p_hh_osm_2021,p_hh_110_2021,p_hh_120_2021,m_hh_ver_2021
BU00140000,00140000,Binnenstad-Noord,Groningen,Buurt,BU00140000,1,4405,2315,2090,3565,2935,535,100,1,11875,2436,289,12,88,88,12,12,88,19,69,0,94,6,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1070,0,45,335,95,75,230,120,170,720,530,190,0,1944,55,39,37,2,9712,1,1,6865,19.8,10.7,16.5,19.6,-1.6
BU00140001,00140001,Binnenstad-Zuid,Groningen,Buurt,BU00140001,1,6570,3505,3060,5285,4335,805,145,1,11919,3940,283,8,92,89,11,12,88,24,64,1,96,4,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1790,0,60,540,140,115,320,195,415,970,720,250,0,1761,110,59,55,4,9711,1,1,6586,19.4,12.4,17.8,20.9,-1.2
BU00140002,00140002,Binnenstad-Oost,Groningen,Buurt,BU00140002,1,4160,2155,2005,3305,2610,560,130,1,15522,2703,254,13,87,93,7,11,89,32,57,0,79,21,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,630,0,45,115,65,30,155,110,110,735,590,150,0,2749,60,29,27,2,9711,3,1,6264,18.9,14.6,21.6,25.7,0
BU00140003,00140003,Binnenstad-West,Groningen,Buurt,BU00140003,1,1700,940,765,1375,1100,230,45,1,17446,1058,278,11,89,90,10,13,87,15,71,0,96,4,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,310,0,15,70,35,20,80,30,55,355,290,65,0,3624,35,11,10,1,9718,1,1,6576,-99999,10.7,15.7,19,0
BU00140004,00140004,Noorderplantsoen,Groningen,Buurt,BU00140004,1,10,5,0,5,0,5,0,2,57,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,-99999,-99999,0,20,19,0,9717,2,1,6447,-99999,-99999,-99999,-99999,-99999
BU00140005,00140005,Hortusbuurt-Ebbingekwartier,Groningen,Buurt,BU00140005,1,5875,2945,2925,4405,3435,720,245,1,13502,3213,287,21,79,92,8,24,76,30,46,0,71,29,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,990,0,50,170,100,50,265,140,210,1200,935,260,0,2755,115,45,43,1,9712,2,1,6898,22.3,11.7,17.3,20,1.2
BU00140007,00140007,UMCG,Groningen,Buurt,BU00140007,1,0,0,0,5,0,0,0,1,-99999,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,40,0,0,15,0,0,5,15,5,0,0,0,-99999,-99999,0,24,24,0,9713,1,1,6600,-99999,-99999,-99999,-99999,-99999
BU00140008,00140008,Stationsgebied,Groningen,Buurt,BU00140008,1,430,170,255,390,350,30,5,1,3338,75,531,7,93,84,16,73,25,0,25,1,15,85,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,90,0,20,10,15,5,20,15,10,85,70,15,0,671,5,15,13,2,9726,1,1,5935,-99999,-99999,-99999,-99999,6.2
BU00140100,00140100,De Meeuwen,Groningen,Buurt,BU00140100,1,1770,845,925,1190,805,230,150,2,8107,567,358,39,61,96,4,55,45,15,30,0,70,30,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,185,0,15,10,15,30,60,40,15,590,445,140,1,2690,25,23,22,1,9723,1,1,4431,-99999,3.6,5.7,7.3,65.3
BU00140101,00140101,Oosterpoort,Groningen,Buurt,BU00140101,1,4925,2425,2500,3580,2555,750,270,1,12425,2933,277,32,68,95,5,27,73,26,47,0,96,4,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,715,0,45,85,75,45,190,125,150,1320,1060,260,0,3327,110,42,40,2,9724,1,1,4421,23.8,11.5,16.7,20.2,2.6
BU00140102,00140102,Herewegbuurt,Groningen,Buurt,BU00140102,1,1580,775,805,1095,745,260,90,1,9714,832,320,28,72,95,5,39,61,6,54,0,93,7,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,230,0,10,25,25,10,55,70,35,445,350,95,0,2746,40,16,16,0,9725,1,1,4422,-99999,7.4,10,11.8,3.8
BU00140103,00140103,Rivierenbuurt,Groningen,Buurt,BU00140103,1,4540,2240,2300,3350,2415,695,235,1,8207,2679,269,4,96,95,5,26,73,34,39,0,86,14,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,525,0,25,65,55,25,130,135,85,1205,1000,200,0,2175,100,56,55,1,9725,1,1,4301,23.1,10.8,16.4,19.9,2.9
BU00140104,00140104,Grunobuurt,Groningen,Buurt,BU00140104,1,2315,1125,1190,1615,1100,330,185,1,10589,1368,275,2,98,96,4,29,70,37,33,0,69,31,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,235,0,15,35,20,10,55,50,55,670,545,125,0,3075,60,23,22,1,9727,1,1,3814,-99999,8.5,12.6,14.7,4.7
BU00140105,00140105,Badstratenbuurt,Groningen,Buurt,BU00140105,1,875,450,425,695,545,120,35,1,14606,564,240,25,75,93,7,20,80,29,50,0,98,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,105,0,5,15,10,5,25,30,15,170,145,25,0,2861,25,7,6,1,9726,1,1,5737,-99999,14.6,21.8,25.7,1
BU00140106,00140106,Zeeheldenbuurt,Groningen,Buurt,BU00140106,1,3690,1790,1900,2795,2085,575,135,1,11061,2043,249,4,96,96,4,27,73,16,57,0,87,13,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,280,0,15,35,30,5,90,55,50,785,645,140,0,2345,70,35,33,1,9726,1,1,4096,-99999,6.3,9.5,11.8,0.6
