scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,considered_annually,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,473537,473537,0,473537,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,470768,39489,42258,513026,90035,0.2863133383871227,0.6534076008434915,0.9998107021435821,1960.3193869050924,0.7835567289005086,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,459696,35992,47064,549018,84654,0.29037770216680475,0.646280737490969,0.9458573108350863,1928.567651853427,0.7785945168403692,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,451285,31688,40099,580706,78354,0.2989216681684172,0.6625624653383791,0.9382641132152315,1901.1939658473084,0.801830266813557,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,439933,28686,40038,609392,76398,0.30351076630869306,0.6504691549167768,0.9341862246954739,1915.9424330479856,0.7830527627110567,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.024943310657596373,NATURAL_GAS_BOILER,TOTAL,429899,33789,43823,643181,74750,0.30756800222417446,0.6542321908026661,0.9215548700964938,1915.3037324414715,0.7892619268858817,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.036281179138321996,NATURAL_GAS_BOILER,TOTAL,412349,24693,42243,667874,71728,0.3124468936105534,0.6431229869188702,0.8676721056095776,1903.6804176890475,0.7781137437744438,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.05215419501133787,NATURAL_GAS_BOILER,TOTAL,394345,21265,39269,689139,67623,0.31895892192599257,0.6519490302908622,0.8711225804092699,1895.903849282049,0.7892934924036329,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.022675736961451247,0.0691609977324263,NATURAL_GAS_BOILER,TOTAL,374824,25464,44985,714603,66029,0.3197137023746652,0.6503081420051785,0.8414285313961278,1871.028108861258,0.7903552209896152,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.1054421768707483,0.08503401360544217,NATURAL_GAS_BOILER,TOTAL,348901,18191,44114,732794,62516,0.3222887226539352,0.6425741276321363,0.756138941995556,1866.1276313263804,0.7887716430352751,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.1893424036281179,0.09977324263038549,NATURAL_GAS_BOILER,TOTAL,324773,25130,49258,757924,54893,0.323913577909867,0.6330352467257275,0.7230944767968024,1876.6793215892737,0.7781876660115304,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
