scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,considered_annually,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,309562,0,0,473492,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BOILER,PRIVATELY_RENTED,64997,0,0,473492,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,98933,0,0,473492,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BOILER,HOME_OWNER_ASSOCIATION,0,0,0,473492,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BOILER,TOTAL,473492,0,0,473492,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BLOCK,PRIVATELY_OWNED,0,0,0,29886,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BLOCK,PRIVATELY_RENTED,0,0,0,29886,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BLOCK,SOCIAL_HOUSING,4335,0,0,29886,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BLOCK,HOME_OWNER_ASSOCIATION,25551,0,0,29886,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BLOCK,TOTAL,29886,0,0,29886,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,HYBRID_HEAT_PUMP,PRIVATELY_OWNED,9492,0,0,11396,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,HYBRID_HEAT_PUMP,PRIVATELY_RENTED,1859,0,0,11396,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,HYBRID_HEAT_PUMP,SOCIAL_HOUSING,45,0,0,11396,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,HYBRID_HEAT_PUMP,HOME_OWNER_ASSOCIATION,0,0,0,11396,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,HYBRID_HEAT_PUMP,TOTAL,11396,0,0,11396,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,ELECTRIC_HEAT_PUMP,PRIVATELY_OWNED,18311,0,0,22705,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,ELECTRIC_HEAT_PUMP,PRIVATELY_RENTED,4243,0,0,22705,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,ELECTRIC_HEAT_PUMP,SOCIAL_HOUSING,151,0,0,22705,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,ELECTRIC_HEAT_PUMP,HOME_OWNER_ASSOCIATION,0,0,0,22705,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,ELECTRIC_HEAT_PUMP,TOTAL,22705,0,0,22705,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,DISTRICT_HEATING,PRIVATELY_OWNED,3582,0,0,8278,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,DISTRICT_HEATING,PRIVATELY_RENTED,2932,0,0,8278,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,DISTRICT_HEATING,SOCIAL_HOUSING,1764,0,0,8278,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,DISTRICT_HEATING,HOME_OWNER_ASSOCIATION,0,0,0,8278,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,DISTRICT_HEATING,TOTAL,8278,0,0,8278,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,300633,0,0,513717,103749,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,NATURAL_GAS_BOILER,PRIVATELY_RENTED,64184,0,0,513717,103749,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,NATURAL_GAS_BOILER,SOCIAL_HOUSING,99693,0,0,513717,103749,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
