scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,considered_annually,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,20863,0,0,20863,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BOILER,TOTAL,20863,0,0,20863,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BLOCK,PRIVATELY_OWNED,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,NATURAL_GAS_BLOCK,TOTAL,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,HYBRID_HEAT_PUMP,PRIVATELY_OWNED,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,HYBRID_HEAT_PUMP,TOTAL,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,ELECTRIC_HEAT_PUMP,PRIVATELY_OWNED,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,ELECTRIC_HEAT_PUMP,TOTAL,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,DISTRICT_HEATING,PRIVATELY_OWNED,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0,0,DISTRICT_HEATING,TOTAL,0,0,0,0,0,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,20776,1738,1825,22601,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,NATURAL_GAS_BOILER,TOTAL,20776,1738,1825,22601,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,NATURAL_GAS_BLOCK,PRIVATELY_OWNED,1,1,0,1,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,NATURAL_GAS_BLOCK,TOTAL,1,1,0,1,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,HYBRID_HEAT_PUMP,PRIVATELY_OWNED,31,31,0,31,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,HYBRID_HEAT_PUMP,TOTAL,31,31,0,31,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,ELECTRIC_HEAT_PUMP,PRIVATELY_OWNED,55,55,0,55,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,ELECTRIC_HEAT_PUMP,TOTAL,55,55,0,55,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,DISTRICT_HEATING,PRIVATELY_OWNED,0,0,0,0,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0,0,DISTRICT_HEATING,TOTAL,0,0,0,0,5309,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,20674,1720,1822,24321,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,NATURAL_GAS_BOILER,TOTAL,20674,1720,1822,24321,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,NATURAL_GAS_BLOCK,PRIVATELY_OWNED,2,1,0,2,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,NATURAL_GAS_BLOCK,TOTAL,2,1,0,2,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,HYBRID_HEAT_PUMP,PRIVATELY_OWNED,67,36,0,67,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,HYBRID_HEAT_PUMP,TOTAL,67,36,0,67,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,ELECTRIC_HEAT_PUMP,PRIVATELY_OWNED,120,65,0,120,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,ELECTRIC_HEAT_PUMP,TOTAL,120,65,0,120,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,DISTRICT_HEATING,PRIVATELY_OWNED,0,0,0,0,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0,0,DISTRICT_HEATING,TOTAL,0,0,0,0,5201,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,20581,1670,1763,25991,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,NATURAL_GAS_BOILER,TOTAL,20581,1670,1763,25991,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,NATURAL_GAS_BLOCK,PRIVATELY_OWNED,3,1,0,3,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,NATURAL_GAS_BLOCK,TOTAL,3,1,0,3,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,HYBRID_HEAT_PUMP,PRIVATELY_OWNED,110,43,0,110,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,HYBRID_HEAT_PUMP,TOTAL,110,43,0,110,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,ELECTRIC_HEAT_PUMP,PRIVATELY_OWNED,169,49,0,169,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,ELECTRIC_HEAT_PUMP,TOTAL,169,49,0,169,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,DISTRICT_HEATING,PRIVATELY_OWNED,0,0,0,0,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0,0,DISTRICT_HEATING,TOTAL,0,0,0,0,5145,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,20502,1624,1703,27615,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,NATURAL_GAS_BOILER,TOTAL,20502,1624,1703,27615,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,NATURAL_GAS_BLOCK,PRIVATELY_OWNED,5,2,0,5,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,NATURAL_GAS_BLOCK,TOTAL,5,2,0,5,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,HYBRID_HEAT_PUMP,PRIVATELY_OWNED,134,24,0,134,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,HYBRID_HEAT_PUMP,TOTAL,134,24,0,134,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,ELECTRIC_HEAT_PUMP,PRIVATELY_OWNED,222,53,0,222,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,ELECTRIC_HEAT_PUMP,TOTAL,222,53,0,222,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,DISTRICT_HEATING,PRIVATELY_OWNED,0,0,0,0,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0,0,DISTRICT_HEATING,TOTAL,0,0,0,0,5120,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0,0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,20425,1687,1764,29302,5073,0,0,0,0,0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
