buurtcode,gasCV,gasBlock,ehp,hhp,dh,hasDHgrid
BU00140000,0.78,0.15,0.02,0.0,0.0,false
BU00140001,0.71,0.21,0.01,0.0,0.0,false
BU00140002,0.66,0.27,0.01,0.0,0.0,false
BU00140003,0.65,0.13,0.05,0.0,0.0,false
BU00140004,0.0,0.0,0.0,0.0,0.0,false
BU00140005,0.73,0.07,0.03,0.01,0.13,true
BU00140007,0.0,0.0,0.0,0.0,0.0,false
BU00140008,0.0,0.0,0.0,0.0,0.0,false
BU00140100,0.91,0.0,0.06,0.02,0.0,false
BU00140101,0.88,0.09,0.0,0.01,0.0,false
BU00140102,0.87,0.01,0.02,0.09,0.0,false
BU00140103,0.87,0.05,0.03,0.02,0.0,false
BU00140104,0.69,0.1,0.01,0.1,0.11,true
BU00140105,0.81,0.16,0.0,0.0,0.0,false
BU00140106,0.6,0.17,0.17,0.01,0.0,false
BU00140107,0.91,0.08,0.0,0.0,0.0,false
BU00140108,0.0,0.0,0.0,0.0,0.0,false
BU00140109,0.0,0.0,0.0,0.0,0.0,false
BU00140200,0.97,0.01,0.0,0.01,0.0,false
BU00140201,0.85,0.12,0.0,0.01,0.0,false
BU00140202,0.87,0.1,0.0,0.01,0.0,false
BU00140203,0.64,0.29,0.0,0.0,0.06,true
BU00140300,0.78,0.06,0.08,0.0,0.09,true
BU00140301,0.95,0.03,0.01,0.0,0.0,false
BU00140302,0.85,0.03,0.07,0.0,0.05,true
BU00140400,0.86,0.1,0.03,0.01,0.0,false
BU00140401,0.85,0.07,0.07,0.0,0.0,false
BU00140402,1.0,0.0,0.0,0.0,0.0,false
BU00140403,0.9,0.0,0.09,0.01,0.0,false
BU00140404,0.59,0.0,0.28,0.0,0.0,false
BU00140500,0.78,0.0,0.02,0.02,0.17,true
BU00140501,0.32,0.02,0.09,0.0,0.58,true
BU00140502,0.0,0.0,0.0,0.0,0.0,false
BU00140503,0.99,0.0,0.01,0.0,0.0,false
BU00140504,0.0,0.0,0.0,0.0,0.0,false
BU00140505,0.0,0.0,0.0,0.0,0.0,false
BU00140506,0.0,0.0,0.0,0.0,0.0,false
BU00140507,0.0,0.0,0.0,0.0,0.0,false
BU00140508,0.0,0.0,0.0,0.0,0.0,false
