buurtcode,municipality,a_hh,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_gas,g_gas_ap,g_tw,g_gas_hw,g_gas_2w,g_gas_vw,p_stadsv,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_lan_ha,pst_mvp,bev_share,bev_from_data,policy_plan,policy_start_jaar,policy_eind_jaar,policy_infra_w,gasCV_2022,gasBlock_2022,ehp_2022,hhp_2022,dh_2022,gasCV_2023,gasBlock_2023,ehp_2023,hhp_2023,dh_2023,gasCV_2024,gasBlock_2024,ehp_2024,hhp_2024,dh_2024,complete_2022,complete_2023,complete_2024,complete_all,buurtnaam,wijkcode,gemeentecode
BU00140000,GM0014,3565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,45.0,335.0,95.0,75.0,230.0,120.0,170.0,720.0,37.0,9712.0,0.08,1,NONE,0,0,0,0.821053,0.157895,0.021053,0.0,0.0,0.795699,0.172043,0.032258,0.0,0.0,0.776596,0.148936,0.06383,0.010638,0.0,1,1,1,1,Binnenstad-Noord,WK001400,GM0014
BU00140001,GM0014,5285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790.0,0.0,60.0,540.0,140.0,115.0,320.0,195.0,415.0,970.0,55.0,9711.0,0.07,1,NONE,0,0,0,0.763441,0.225806,0.010753,0.0,0.0,0.738636,0.238636,0.011364,0.011364,0.0,0.722222,0.211111,0.044444,0.022222,0.0,1,1,1,1,Binnenstad-Zuid,WK001400,GM0014
BU00140002,GM0014,3305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,45.0,115.0,65.0,30.0,155.0,110.0,110.0,735.0,27.0,9711.0,0.07,1,NONE,0,0,0,0.702128,0.287234,0.010638,0.0,0.0,0.673684,0.294737,0.021053,0.010526,0.0,0.691489,0.265957,0.031915,0.010638,0.0,1,1,1,1,Binnenstad-Oost,WK001400,GM0014
BU00140003,GM0014,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,15.0,70.0,35.0,20.0,80.0,30.0,55.0,355.0,10.0,9718.0,0.05,1,NONE,0,0,0,0.783133,0.156627,0.060241,0.0,0.0,0.735632,0.137931,0.126437,0.0,0.0,0.75,0.09375,0.145833,0.010417,0.0,1,1,1,1,Binnenstad-West,WK001400,GM0014
BU00140004,GM0014,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9717.0,0.05,1,NONE,2023,2035,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Noorderplantsoen,WK001400,GM0014
BU00140005,GM0014,4405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,50.0,170.0,100.0,50.0,265.0,140.0,210.0,1200.0,43.0,9712.0,0.08,1,NONE,0,0,0,0.752577,0.072165,0.030928,0.010309,0.134021,0.75,0.072917,0.041667,0.010417,0.125,0.71875,0.0625,0.0625,0.010417,0.145833,1,1,1,1,Hortusbuurt-Ebbingekwartier,WK001400,GM0014
BU00140007,GM0014,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,15.0,0.0,0.0,5.0,15.0,5.0,0.0,24.0,9713.0,0.03,1,NONE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,UMCG,WK001400,GM0014
BU00140008,GM0014,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,20.0,10.0,15.0,5.0,20.0,15.0,10.0,85.0,13.0,9726.0,0.02,1,NONE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Stationsgebied,WK001400,GM0014
BU00140100,GM0014,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,15.0,10.0,15.0,30.0,60.0,40.0,15.0,590.0,22.0,9723.0,0.33,1,NONE,0,0,0,0.919192,0.0,0.060606,0.020202,0.0,0.881188,0.019802,0.069307,0.029703,0.0,0.752475,0.019802,0.188119,0.039604,0.0,1,1,1,1,De Meeuwen,WK001401,GM0014
BU00140101,GM0014,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,0.0,45.0,85.0,75.0,45.0,190.0,125.0,150.0,1320.0,40.0,9724.0,0.03,1,NONE,0,0,0,0.897959,0.091837,0.0,0.010204,0.0,0.928571,0.030612,0.020408,0.020408,0.0,0.909091,0.030303,0.030303,0.030303,0.0,1,1,1,1,Oosterpoort,WK001401,GM0014
BU00140102,GM0014,1095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,10.0,25.0,25.0,10.0,55.0,70.0,35.0,445.0,16.0,9725.0,0.03,1,NONE,0,0,0,0.878788,0.010101,0.020202,0.090909,0.0,0.858586,0.030303,0.020202,0.090909,0.0,0.81,0.04,0.04,0.11,0.0,1,1,1,1,Herewegbuurt,WK001401,GM0014
BU00140103,GM0014,3350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,25.0,65.0,55.0,25.0,130.0,135.0,85.0,1205.0,55.0,9725.0,0.03,1,NONE,0,0,0,0.896907,0.051546,0.030928,0.020619,0.0,0.896907,0.051546,0.030928,0.020619,0.0,0.877551,0.05102,0.05102,0.020408,0.0,1,1,1,1,Rivierenbuurt,WK001401,GM0014
BU00140104,GM0014,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,15.0,35.0,20.0,10.0,55.0,50.0,55.0,670.0,22.0,9727.0,0.06,1,NONE,0,0,0,0.683168,0.09901,0.009901,0.09901,0.108911,0.63,0.09,0.09,0.09,0.1,0.58,0.04,0.09,0.13,0.16,1,1,1,1,Grunobuurt,WK001401,GM0014
BU00140105,GM0014,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,5.0,15.0,10.0,5.0,25.0,30.0,15.0,170.0,6.0,9726.0,0.02,1,NONE,0,0,0,0.835052,0.164948,0.0,0.0,0.0,0.824742,0.164948,0.010309,0.0,0.0,0.835052,0.14433,0.010309,0.010309,0.0,1,1,1,1,Badstratenbuurt,WK001401,GM0014
BU00140106,GM0014,2795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,15.0,35.0,30.0,5.0,90.0,55.0,50.0,785.0,33.0,9726.0,0.02,1,NONE,0,0,0,0.631579,0.178947,0.178947,0.010526,0.0,0.553191,0.170213,0.265957,0.010638,0.0,0.552083,0.166667,0.270833,0.010417,0.0,1,1,1,1,Zeeheldenbuurt,WK001401,GM0014
BU00140107,GM0014,835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,10.0,10.0,10.0,5.0,40.0,25.0,20.0,390.0,21.0,9727.0,0.06,1,NONE,0,0,0,0.919192,0.080808,0.0,0.0,0.0,0.90099,0.089109,0.0,0.009901,0.0,0.909091,0.080808,0.0,0.010101,0.0,1,1,1,1,Laanhuizen,WK001401,GM0014
BU00140108,GM0014,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,129.0,9727.0,0.06,1,NONE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Stadspark,WK001401,GM0014
BU00140109,GM0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,5.0,15.0,20.0,15.0,75.0,25.0,10.0,65.0,25.0,9727.0,0.06,1,NONE,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Martini Trade Park,WK001401,GM0014
BU00140110,GM0014,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,10.0,40.0,20.0,5.0,20.0,10.0,10.0,55.0,37.0,9727.0,0.06,1,NONE,0,0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Peizerweg,WK001401,GM0014
BU00140200,GM0014,1665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,10.0,25.0,30.0,25.0,95.0,60.0,60.0,810.0,26.0,9717.0,0.05,1,DISTRICT_HEATING,2023,2035,1,0.979798,0.010101,0.0,0.010101,0.0,0.969697,0.010101,0.0,0.020202,0.0,0.969697,0.010101,0.0,0.020202,0.0,1,1,1,1,Oranjebuurt,WK001402,GM0014
BU00140201,GM0014,2675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,30.0,50.0,35.0,15.0,145.0,85.0,100.0,980.0,25.0,9717.0,0.05,1,NONE,2023,2035,0,0.867347,0.122449,0.0,0.010204,0.0,0.848485,0.121212,0.010101,0.020202,0.0,0.828283,0.111111,0.040404,0.020202,0.0,1,1,1,1,Noorderplantsoenbuurt,WK001402,GM0014
BU00140202,GM0014,4035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,0.0,30.0,100.0,45.0,60.0,215.0,130.0,120.0,1275.0,36.0,9718.0,0.05,1,NONE,0,0,0,0.887755,0.102041,0.0,0.010204,0.0,0.848485,0.10101,0.030303,0.020202,0.0,0.808081,0.10101,0.050505,0.040404,0.0,1,1,1,1,Schildersbuurt,WK001402,GM0014
BU00140203,GM0014,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,15.0,25.0,20.0,10.0,55.0,85.0,40.0,665.0,25.0,9718.0,0.05,1,NONE,0,0,0,0.646465,0.292929,0.0,0.0,0.060606,0.622449,0.27551,0.0,0.0,0.102041,0.61,0.26,0.02,0.01,0.1,1,1,1,1,Kostverloren,WK001402,GM0014
